#separator:tab
#html:false
#tags column:3
#　択一下巻 弱点デッキ（過去問H27-R06の「1回×」=太字1回の問題）/ 2026-06-10
#　論点はアガルート下巻(0000002047)目次から取得。裏は俺の知識ベース→★全カード過去問・解説で裏取り必須
#　注意=「1回×」は弱シグナル(1周目で外しただけ)。短答262枚と重複多。解いて2周目の×を優先せよ
【択一H27問3】相続・遺言の要点は？	遺言能力(15歳以上)・方式・撤回・遺贈の対抗要件は登記 ★要確認	択一H27 民法
【択一H29問2】物権 不動産の物権変動の要点は？	対抗要件は登記・取消し前後/時効完成前後の第三者 ★要確認	択一H29 民法
【択一H29問3】相続の承認・放棄の要点は？	単純/限定承認・放棄の効果。限定承認者の管理義務 ★要確認	択一H29 民法
【択一H29問7】所有権証明書の要点は？	建物表題登記での添付・有効期限なし・共有なら一部の証明で足る場合 ★要確認	択一H29 総論
【択一H29問8】電子申請の要点は？	電磁的記録作成者が電子署名・代理人申請は代理人が署名・特則方式 ★要確認	択一H29 総論
【択一H29問13】土地に関する登記の要点は？	表題/地目地積変更・分合筆・滅失の総合。申請義務と添付 ★要確認	択一H29 土地
【択一H29問15】申請義務の要点は？	表題・滅失・地目地積変更は1月以内。報告的登記との別 ★要確認	択一H29 総論
【択一H29問16】建物の構造の表示の要点は？	主要部材料が複合なら複合表示(準則81条)。屋根/階数 ★要確認	択一H29 建物
【択一H30問1】総則 行為能力の要点は？	未成年/成年被後見人/被保佐人/被補助人の同意・取消し ★要確認	択一H30 民法
【択一H30問2】物権 付合の要点は？	増築部分の独立性なければ所有権取得せず付合 ★要確認	択一H30 民法
【択一H30問8】土地に関する登記の要点は？	表題/分合筆/地目地積変更の総合。添付と申請義務 ★要確認	択一H30 土地
【択一H30問11】区分建物に関する登記の要点は？	一括申請・敷地権・原始取得者/代位 ★要確認	択一H30 区分建物
【択一H30問16】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一H30 要確認
【択一H30問18】（論点未取得・要特定・筆界特定系か）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一H30 要確認
【択一H30問20】調査士法 登録・移転・取消しの要点は？	登録申請は調査士会経由・事務所移転・登録取消事由 ★要確認	択一H30 調査士法
【択一R01問2】物権 共有の要点は？	共有物の管理/変更/分割・持分処分・共有者間の対抗 ★要確認	択一R01 民法
【択一R01問5】土地 地目の要点は？	客観的用途で認定(準則68・69)。個別事例の区別 ★要確認	択一R01 地目
【択一R01問6】土地の滅失登記の要点は？	原因=滅失(海没等)・1月以内・地図訂正の要否 ★要確認	択一R01 土地
【択一R01問9】建物の個数の要点は？	1個の建物の認定・効用上一体・附属建物 ★要確認	択一R01 建物
【択一R01問10】建物の登記申請における添付図面の要点は？	建物図面・各階平面図・新築/増築は所有権証明 ★要確認	択一R01 添付情報
【択一R01問12】建物の分割または合併の登記の要点は？	分割/合併の要件・図面・所有権証明の要否 ★要確認	択一R01 建物
【択一R01問13】建物に関する登記の要点は？	表題/変更更正/分割合併/滅失の総合 ★要確認	択一R01 建物
【択一R01問15】総論 添付情報の要点は？	代理権限証明・所有権証明・住所証明・印鑑証明の要否 ★要確認	択一R01 総論
【択一R01問18】区分建物に関する登記の要点は？	一括申請・敷地権・原始取得者/代位申請 ★要確認	択一R01 区分建物
【択一R01問19】総論 登記記録の要点は？	表題部/権利部の構成・1個の不動産ごと ★要確認	択一R01 総論
【択一R01問20】調査士法 業務規制の要点は？	業務範囲・会則遵守義務・依頼拒否・秘密保持 ★要確認	択一R01 調査士法
【択一R02問2】物権 取得時効の要点は？	所有の意思・平穏公然・善意無過失で10年/20年・援用 ★要確認	択一R02 民法
【択一R02問4】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R02 要確認
【択一R02問5】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R02 要確認
【択一R02問9】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R02 要確認
【択一R02問11】建物の所在の要点は？	所在地番の記載・複数地番にまたがる場合は床面積の多い部分から ★要確認	択一R02 建物
【択一R02問13】建物の附属建物の要点は？	効用上一体なら附属建物・分割/区分・各階平面図 ★要確認	択一R02 建物
【択一R02問18】総論 筆界特定の要点は？	名義人等が申請・行政処分でない・複数申請を一の申請情報で可 ★要確認	択一R02 筆界特定
【択一R02問19】総論 登録免許税の要点は？	表題部の変更等は不課税・分筆は課税・代位は非課税 ★要確認	択一R02 税
【択一R03問3】相続の要点は？	相続による物権変動・遺産分割・法定相続情報 ★要確認	択一R03 民法
【択一R03問6】総論 却下の要点は？	却下は決定書を作成・申請書/添付書類は還付されない ★要確認	択一R03 総論
【択一R03問7】総論 登記完了証の要点は？	申請人に交付・代位は被代位者に完了通知 ★要確認	択一R03 総論
【択一R03問13】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R03 要確認
【択一R03問15】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R03 要確認
【択一R03問16】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R03 要確認
【択一R03問18】（論点未取得・要特定・筆界特定系か）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R03 要確認
【択一R03問20】（論点未取得・要特定・調査士法系）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R03 調査士法 要確認
【択一R04問4】総論 各情報の保存期間の要点は？	地図/建物図面=30年・地積測量図=永久(閉鎖30年)・法定相続情報つづり込み帳=5年 ★要確認	択一R04 保存期間
【択一R04問5】登記識別情報の通知の要点は？	申請人に通知・通知を希望しない申出・失効申出 ★要確認	択一R04 総論
【択一R04問8】土地分筆登記の要点は？	原因なし・地積測量図・市街地の誤差限度(甲二) ★要確認	択一R04 分筆
【択一R04問9】土地合筆登記の要点は？	合筆制限・地積測量図不要・所有権登記ありなら識別情報/印鑑証明 ★要確認	択一R04 合筆
【択一R04問13】建物の表題登記の要点は？	建物図面・各階平面図・所有権証明・住所証明 ★要確認	択一R04 建物
【択一R04問15】建物の合体による登記等の要点は？	報告的・登録免許税なし・表題登記なし建物含む場合1月以内 ★要確認	択一R04 合体
【択一R04問16】建物合併登記の要点は？	所有者/名義人同一等の要件・所有権証明不要 ★要確認	択一R04 合併
【択一R04問19】総論 筆界特定の要点は？	名義人等が申請・行政処分でない・既特定でも必要性あれば再申請可 ★要確認	択一R04 筆界特定
【択一R05問6】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R05 要確認
【択一R05問7】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R05 要確認
【択一R05問10】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R05 要確認
【択一R05問12】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R05 要確認
【択一R05問13】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R05 要確認
【択一R05問14】（論点未取得・要特定）	アガルート下巻で論点を確認してカード化し直す ★要確認	択一R05 要確認
【択一R05問15】建物分割登記の要点は？	原因なし・建物図面・各階平面図 ★要確認	択一R05 建物
【択一R05問16】建物の合体による登記等の要点は？	報告的・登録免許税なし・消滅承諾で全部消せる ★要確認	択一R05 合体
【択一R05問18】総論 筆界特定の要点は？	名義人等が申請・図面必須でない・意見提出は任意 ★要確認	択一R05 筆界特定
【択一R05問19】総論 法定相続情報一覧図の要点は？	登記官が保管・写し交付・つづり込み帳の保存5年・住所記載は任意 ★要確認	択一R05 総論
【択一R06問1】総則 行為能力の要点は？	制限行為能力者の同意・取消し・相手方の催告権 ★要確認	択一R06 民法
【択一R06問2】物権 不動産の物権変動の要点は？	対抗要件は登記・取消し前後/時効の第三者 ★要確認	択一R06 民法
【択一R06問6】総論 地図の要点は？	14条地図と地図に準ずる図面・精度・現地復元性 ★要確認	択一R06 総論
【択一R06問7】土地の表題部の変更・更正登記の要点は？	変更=登記後の事情変更/更正=当初の錯誤 ★要確認	択一R06 土地
【択一R06問9】土地合筆登記の要点は？	合筆制限・地積測量図不要 ★要確認	択一R06 合筆
【択一R06問13】建物の所在の要点は？	所在地番の記載・複数地番は床面積の多い部分から ★要確認	択一R06 建物
【択一R06問14】建物の附属建物の要点は？	効用上一体なら附属建物・分割/区分 ★要確認	択一R06 建物
【択一R06問15】建物に関する登記の要点は？	表題/変更更正/分割合併/滅失の総合 ★要確認	択一R06 建物
